L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_cache
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_mirage
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_overpass
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_shroomforest2_p4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_shroomforest_p4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_shroomforest_v3_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_shroomforest_v3_p3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_skill_escape_v08.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sky_temples_v2_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sorrento_escape.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sorrento_escape_v2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_space_station_csgo.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_space_stationzz_go_v3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_spacestation_og_final.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sst_b2_1_p3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_starwars_v2fix.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_suchirifu_v3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_super_metroid.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_danger_p.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_facility_v2_3_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_facility_v3_pre2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_lite_v2_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_lite_v2_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_lite_v2f.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_v1_6.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_v1_7.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_v1_8.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_v1_9.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_froyo_v2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surf_vortex_v2_3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_surgical_nightmare_v1_b2c.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_thelostworld_redux_pm1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_thousand_steps_b7.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_timesplitters_go_fix.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_titanic_escape_csgo_b.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_titanic_escape_v2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_titanic_escape_v2_3_go.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tkara_v1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_toaster_b2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tomb_temple_v2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tomb_temple_v2_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tomb_temple_v2_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tropico_escape_v10_4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tropico_escape_v10_5.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tropico_escape_v8_1fix.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tv_station_v2_pm2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tyranny_v5_go.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tyranny_v5_go2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_tyranny_v5beta_csgo4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_ultimate_championship_v2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_underground_escape__final_e2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_underground_escape__final_e3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_undersea_temple_a01.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_undersea_temple_a0_4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_unknow_escape_v2_5.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_unknown_underground_a2_7.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_urbanterror_b2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_ut2004_convoy_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_vietnam_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_volcano_escape_v4fix.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_voodoo_islands_v4_1_csgo.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_voodoo_islands_v8_6.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_winter_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_zk_fapescape_a9_2_p.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_zombierig_v4_3_pm1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_alien_shooter_v6_2_ps_b1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_atix_panic_v1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_a_e_s_t_h_e_t_i_c_v1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_bathroom_v2_4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_bioshock_v1_7_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_bioshock_v6_1_csgo_b1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_boatescape5_csgo_b4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_boredom_v543655.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_chaos_b4_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_chrono_trigger_a4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_crazy_escape_v3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_deadcore_c16.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_deadcore_c6.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_deadcore_v1_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_destruction_of_exorath_v4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_diddle_v1_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_dreamin_b5.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ep2_plant_a2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_fat_house_escape_v0_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_fat_house_escape_V1_0.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffvii_cosmo_canyon_v1_1_csgo.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffvii_cosmo_canyon_v4fix_x2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_feywood_b3_1_e2_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_paramina_rift_v1_4_g.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_ridorana_cataract_b3_ps9.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_westersand_v7_2_e2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_westersand_v7_2_e2_fix.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_westersand_v7_2_e2_fix2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_westersand_v7_2_e2_n_9.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_westersand_v7_2_e2_n_93x.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxii_westersand_v8zeta1_ps1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxiv_wanderers_palace_v4_5zz.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxiv_wanderers_palace_v4_6.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxiv_wanderers_palace_v4_7.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_ffxiv_wanderers_palace_v4_9.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_fire_temple_v2_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_FORiUS_just_RUN_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_grau_a01_0.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_grau_a03_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_grau_a03_3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_gris_v1_10.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_gris_v1_9_5.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_gris_v1_9_8.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_harry_potter_t.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_hidden_temple_v2_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_hidden_temple_v2_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_hold_em_v10_p.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_horizon_sky_escape_b2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_iamlegend_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_infested_industry_v2_b10_ps_b3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_jungle_escape_v1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_jungle_escape_v1_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_lila_panic_escape_v1_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_lotr_minas_tirith_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_lotr_minas_tirith_v3_3_ps28.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_lotr_minas_tirith_v3_3_th23.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_luck_matters_v2f.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mirrors_edge_reborn_v4_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mirrors_edge_reborn_v4_2_p3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mirrors_edge_v20.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mountain_escape_snow_v4_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mountain_escape_snow_v4_4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mountain_escape_snow_v4_5.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mountain_escape_snow_v4_7.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mountain_escape_snow_v4_8.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_mountain_escape_snow_v5_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_necromanteion_v2_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_new_crazy_escape_b1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_nuclear_warhouse_by_gm.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_otakuroom_v3_3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_otakuroom_v3_4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_otakuroom_v5_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_otakuroom_v5_2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_otakuroom_v5_5.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_panic_escape_v3_2_e3.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_paranoid_rezurrection_v11_9_ps12.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] delete maps/ze_pidaras_v1_4fix3_ez.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_pipeline_escape_beta1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_pipeline_escape_beta2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_pirates_port_royal_v5_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_pirates_port_royal_v5_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_pirates_port_royal_v5_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_pkmn_adventure_v6_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_PKMN_Adventure_v6_3fix.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_PKMN_Adventure_v6_3_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_PKMN_Adventure_v6_3_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_PKMN_Adventure_v7.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_PKMN_Adventure_v8_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_pkmn_adventure_v8_t5.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_project_alcaria_v1_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_rizomata_a43.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_rizomata_b41.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_rizomata_b42.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_rizomata_z31.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_rizomata_z32.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_rizomata_z33.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_11.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_13.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_15.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_16.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_17.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_19.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_21.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_5.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_7.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v4_9.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v5.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v5_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v5_b1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v5_b2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v5_b4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v5_b5.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_roof_adventure_v6_9.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_rush_B_v1_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_sandstorm_go_b4_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_sandstorm_go_b4_6.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_sandstorm_v7_1_e4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_shroomforest2_b5_e2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_shroomforest_v4_5_e3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_skill_escape_v09.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_sky_athletic_adv_v9_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_sky_athletic_v8_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_square_v1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_square_v1_fix.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_square_v1_refix2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_stalker_ultimate_v4_4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_starwars_v1_5.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_starwars_v2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_sunkentemple_v2_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_surf_froyo_b8.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_surf_froyo_lite_v1_6.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_surf_froyo_v1_4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_surf_sahok_p.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_survivors_p.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_s_a_m_a19.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_s_a_m_a2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_s_a_m_a5.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_s_a_m_a7.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_temple_escape.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_temple_raider_b4_ps_v4_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_trials_v1_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_trials_v1_3a.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_tyranny_v5beta_csgo1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_tyranny_v5beta_csgo5_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_undertale_g_c7.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_undertale_g_v1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_valkvang_v1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_venice_escape_p2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_vietnam_p.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_whothefuckiam_v2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/a_lastsync.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_fat_house_escape_V1_0.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_ffxii_feywood_b3_1_e2_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_ffxii_paramina_rift_v1_6.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_FORiUS_just_RUN_p2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_industrial_dejavu_v3_3_1_e2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_mirrors_edge_reborn_v4_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_necromanteion_v2_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_santassination_v2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_Alien_Shooter_v6_2_ps_b1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_biohazard_manor_v4a_004.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_bioshock_v6_1_csgo_b1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_bioshock_v6_1_csgo_b2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_bioshock_v6_2_csgo.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_bioshock_v6_2_csgo2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_boredom_v543654.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_boredom_v543655.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_chaos_b4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_chaos_v1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_chaos_v1_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_christmas_b1_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_christmas_b1_2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_christmas_b2.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_christmas_infection_p.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_christmas_infection_v2_5_air.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_christmas_infection_v2_7_air.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_copy_escape_a02_05.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_crashbandicoot_v1fix.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_cyberderp_v1_4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_dark_souls_b1_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_dark_souls_ptd_v0_4_csgo.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_deadcore_c10.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_deadcore_c13.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_deadcore_c14.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_deadcore_c16.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_death_star_escape_v4_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_destruction_of_exorath_v3_1.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_destruction_of_exorath_v4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_diddle_v1_3.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_diddle_v1_6.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_dreamin_v1_4.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_dreamin_v1_6.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_dreamin_v1_9.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_evernight_a3_2c_custom.bsp
L 07/31/2018 - 17:00:59: [mapfile_clear.smx] delete maps/ze_fapescape_rote_b1.bsp
